scenario,year,material,mean,std,p2_5,p2,p5,p25,p50,p75,p95,p97_5,p97,bucket_years,mean_annual,std_annual,p2_annual,p5_annual,p25_annual,p50_annual,p75_annual,p95_annual,p97_annual
Mid_Case,2037,Glass,1709810.303161324,1009617.9360063141,577494.6941071878,577494.6941071878,654967.1839923138,1033472.0052362742,1457457.3685686504,2079147.7003751653,3609174.914428118,4257478.75466081,4257478.75466081,1.0,1709810.303161324,1009617.9360063141,577494.6941071878,654967.1839923138,1033472.0052362742,1457457.3685686504,2079147.7003751653,3609174.914428118,4257478.75466081
Mid_Case,2038,Glass,1879003.1245596656,1108288.9583149496,634860.8286567163,634860.8286567163,720884.102922715,1136048.8935886207,1602479.3644761895,2286416.3977619577,3963364.252964649,4675376.495085158,4675376.495085158,1.0,1879003.1245596656,1108288.9583149496,634860.8286567163,720884.102922715,1136048.8935886207,1602479.3644761895,2286416.3977619577,3963364.252964649,4675376.495085158
Mid_Case,2039,Glass,2214088.531213703,1314659.4223382883,742968.9276178257,742968.9276178257,840538.3139739869,1333739.5961050363,1885861.763381097,2694353.141713555,4683957.87008235,5533023.46754958,5533023.46754958,1.0,2214088.531213703,1314659.4223382883,742968.9276178257,840538.3139739869,1333739.5961050363,1885861.763381097,2694353.141713555,4683957.87008235,5533023.46754958
Mid_Case,2040,Glass,2437881.9876248552,1443838.824331173,820970.6043756496,820970.6043756496,928410.674190771,1470691.9083514793,2077044.7684902367,2966408.0248254826,5155649.697570772,6082195.460219891,6082195.460219891,1.0,2437881.9876248552,1443838.824331173,820970.6043756496,928410.674190771,1470691.9083514793,2077044.7684902367,2966408.0248254826,5155649.697570772,6082195.460219891
Mid_Case,2041,Glass,2675686.470733028,1583748.9391080104,901470.553422842,901470.553422842,1020463.266160163,1614921.5253577095,2279972.816316943,3255111.754283813,5656520.166141545,6672944.511199846,6672944.511199846,1.0,2675686.470733028,1583748.9391080104,901470.553422842,1020463.266160163,1614921.5253577095,2279972.816316943,3255111.754283813,5656520.166141545,6672944.511199846
Mid_Case,2042,Glass,3012813.739425528,1780674.200954139,1016229.263284585,1016229.263284585,1152939.3958181692,1820650.1190889708,2568476.1457107756,3665813.068793025,6363458.8991048625,7506531.580726052,7506531.580726052,1.0,3012813.739425528,1780674.200954139,1016229.263284585,1152939.3958181692,1820650.1190889708,2568476.1457107756,3665813.068793025,6363458.8991048625,7506531.580726052
Mid_Case,2043,Glass,3332068.104161145,1968046.9674561953,1125034.7124205695,1125034.7124205695,1276010.222922702,2013892.121521338,2840115.8356689326,4052192.9659555843,7034736.675237493,8298349.18611345,8298349.18611345,1.0,3332068.104161145,1968046.9674561953,1125034.7124205695,1276010.222922702,2013892.121521338,2840115.8356689326,4052192.9659555843,7034736.675237493,8298349.18611345
Mid_Case,2044,Glass,3489539.961282016,2066277.9105645893,1175306.3785926255,1175306.3785926255,1329561.7558295687,2104995.6931978622,2973048.1432638383,4245775.656262078,7378811.2701496,8704832.625783034,8704832.625783034,1.0,3489539.961282016,2066277.9105645893,1175306.3785926255,1329561.7558295687,2104995.6931978622,2973048.1432638383,4245775.656262078,7378811.2701496,8704832.625783034
Mid_Case,2045,Glass,3957507.9051180054,2366622.927252697,1309963.6672152237,1309963.6672152237,1487088.3773465238,2370228.338559034,3371232.1139062103,4831337.104038631,8418420.205595281,9922833.388770867,9922833.388770867,1.0,3957507.9051180054,2366622.927252697,1309963.6672152237,1487088.3773465238,2370228.338559034,3371232.1139062103,4831337.104038631,8418420.205595281,9922833.388770867
Mid_Case,2046,Glass,4140951.748006285,2481200.454252552,1365860.5260841516,1365860.5260841516,1554387.602406173,2474678.23495341,3526897.662032604,5057747.381513378,8821964.844777068,10385312.236102011,10385312.236102011,1.0,4140951.748006285,2481200.454252552,1365860.5260841516,1554387.602406173,2474678.23495341,3526897.662032604,5057747.381513378,8821964.844777068,10385312.236102011
Mid_Case,2047,Glass,3270082.801785584,1924973.9815893408,1105795.6937046025,1105795.6937046025,1257073.603375075,1977940.5832868752,2788786.8792331554,3979905.9521219125,6889664.168104712,8126188.398905624,8126188.398905624,1.0,3270082.801785584,1924973.9815893408,1105795.6937046025,1257073.603375075,1977940.5832868752,2788786.8792331554,3979905.9521219125,6889664.168104712,8126188.398905624
Mid_Case,2048,Glass,2374549.4156714743,1349086.6445383385,827986.6829790589,827986.6829790589,948951.6829207926,1468596.9679591733,2045021.5217581973,2892369.4624659466,4897283.543977434,5779963.790357144,5779963.790357144,1.0,2374549.4156714743,1349086.6445383385,827986.6829790589,948951.6829207926,1468596.9679591733,2045021.5217581973,2892369.4624659466,4897283.543977434,5779963.790357144
Mid_Case,2049,Glass,1993840.204165173,1099121.5110984058,715311.2503460167,715311.2503460167,814185.3877625974,1256807.2141406606,1736961.0322740574,2420284.494153539,4049542.5485748025,4792639.769191793,4792639.769191793,1.0,1993840.204165173,1099121.5110984058,715311.2503460167,814185.3877625974,1256807.2141406606,1736961.0322740574,2420284.494153539,4049542.5485748025,4792639.769191793
Mid_Case,2050,Glass,1368051.125301675,708323.4849456905,514504.14956907846,514504.14956907846,581477.2405485952,887714.0696314283,1202717.8206581231,1648170.4057566193,2671677.8798355428,3160672.174455804,3160672.174455804,1.0,1368051.125301675,708323.4849456905,514504.14956907846,581477.2405485952,887714.0696314283,1202717.8206581231,1648170.4057566193,2671677.8798355428,3160672.174455804
Mid_Case,2026,Indium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mid_Case,2027,Indium,94.85125984535335,71.42601925505093,19.718735577430536,19.718735577430536,24.497255027078868,48.37849151329031,75.2303017671183,118.47386293753111,235.19112278171937,281.7441066165018,281.7441066165018,1.0,94.85125984535335,71.42601925505093,19.718735577430536,24.497255027078868,48.37849151329031,75.2303017671183,118.47386293753111,235.19112278171937,281.7441066165018
Mid_Case,2028,Indium,116.0274844569193,87.37239075629452,24.121084837994438,24.121084837994438,29.96644305543007,59.17933700890615,92.02600664667168,144.92400325464934,287.69922916630804,344.645500803817,344.645500803817,1.0,116.0274844569193,87.37239075629452,24.121084837994438,29.96644305543007,59.17933700890615,92.02600664667168,144.92400325464934,287.69922916630804,344.645500803817
Mid_Case,2029,Indium,132.60467857151338,99.85554583461602,27.567336452304783,27.567336452304783,34.247838500474295,67.63446608251692,105.17403776113773,165.62972953201603,328.8036794681655,393.88603544341515,393.88603544341515,1.0,132.60467857151338,99.85554583461602,27.567336452304783,34.247838500474295,67.63446608251692,105.17403776113773,165.62972953201603,328.8036794681655,393.88603544341515
Mid_Case,2030,Indium,164.89079474984072,124.16801948635097,34.279333623250395,34.279333623250395,42.58638058356217,84.10186567295928,130.78143893792657,205.95666782606486,408.85963156223596,489.78800842311347,489.78800842311347,1.0,164.89079474984072,124.16801948635097,34.279333623250395,42.58638058356217,84.10186567295928,130.78143893792657,205.95666782606486,408.85963156223596,489.78800842311347
Mid_Case,2031,Indium,190.66604985837918,143.57760741051715,39.637780530067985,39.637780530067985,49.243361195220494,97.24842759058052,151.2248175825677,238.15122218293544,472.77139402955737,566.3502621581475,566.3502621581475,1.0,190.66604985837918,143.57760741051715,39.637780530067985,49.243361195220494,97.24842759058052,151.2248175825677,238.15122218293544,472.77139402955737,566.3502621581475
Mid_Case,2032,Indium,178.51259976965943,134.42567246028543,37.11118605948642,37.11118605948642,46.10448705936127,91.04961080171603,141.58543357041336,222.9709685692598,442.6359632856966,530.2499199683085,530.2499199683085,1.0,178.51259976965943,134.42567246028543,37.11118605948642,46.10448705936127,91.04961080171603,141.58543357041336,222.9709685692598,442.6359632856966,530.2499199683085
Mid_Case,2033,Indium,159.91645096466996,120.42218020535321,33.24521167346352,33.24521167346352,41.30165575759389,81.56472226561357,126.83608929616196,199.743469131927,396.5253568056957,475.01232649710323,475.01232649710323,1.0,159.91645096466996,120.42218020535321,33.24521167346352,41.30165575759389,81.56472226561357,126.83608929616196,199.743469131927,396.5253568056957,475.01232649710323
Mid_Case,2034,Indium,150.02089409181286,112.97051075054029,31.188013174619826,31.188013174619826,38.745928182181835,76.51753454271638,118.98753007921033,187.38343458355246,371.98854901556035,445.6187809062326,445.6187809062326,1.0,150.02089409181286,112.97051075054029,31.188013174619826,38.745928182181835,76.51753454271638,118.98753007921033,187.38343458355246,371.98854901556035,445.6187809062326
Mid_Case,2035,Indium,124.91156799430316,94.06238857856114,25.968007002308294,25.968007002308294,32.26093719764811,63.71062695399951,99.07232618456041,156.0206581335582,309.7280096532575,371.0345881330477,371.0345881330477,1.0,124.91156799430316,94.06238857856114,25.968007002308294,32.26093719764811,63.71062695399951,99.07232618456041,156.0206581335582,309.7280096532575,371.0345881330477
