material,family,tech,demand_t,share_pct,mode
Silicon,Bulk commodities,Offshore wind,0.0,0.0,cumulative
Silicon,Bulk commodities,Hydro,0.0,0.0,cumulative
Silicon,Bulk commodities,Geothermal,0.0,0.0,cumulative
Silicon,Bulk commodities,Biomass CCS,0.0,0.0,cumulative
Silicon,Bulk commodities,Nuclear (SMR),0.0,0.0,cumulative
Silicon,Bulk commodities,Natural gas,0.0,0.0,cumulative
Silicon,Bulk commodities,Coal CCS,0.0,0.0,cumulative
Silver,Specialty metals,Utility solar PV,21053.21685795144,91.70029433901145,cumulative
Silver,Specialty metals,Distributed solar,1898.94855641668,8.271141780040276,cumulative
Silver,Specialty metals,CSP,1.1040207408496507,0.004808720091345576,cumulative
Silver,Specialty metals,Onshore wind,0.0,0.0,cumulative
Silver,Specialty metals,Offshore wind,0.0,0.0,cumulative
Silver,Specialty metals,Hydro,0.0,0.0,cumulative
Silver,Specialty metals,Geothermal,0.0,0.0,cumulative
Silver,Specialty metals,Biomass CCS,0.0,0.0,cumulative
Silver,Specialty metals,Nuclear (SMR),5.453881654594313,0.023755160856928408,cumulative
Silver,Specialty metals,Natural gas,0.0,0.0,cumulative
Silver,Specialty metals,Coal CCS,0.0,0.0,cumulative
Steel,Bulk commodities,Utility solar PV,53531281.09117829,34.78679050384856,cumulative
Steel,Bulk commodities,Distributed solar,3814428.370415058,2.4787697568372233,cumulative
Steel,Bulk commodities,CSP,24133.740975302026,0.015683080514214125,cumulative
Steel,Bulk commodities,Onshore wind,69673305.68396544,45.27653064028993,cumulative
Steel,Bulk commodities,Offshore wind,15197486.661563307,9.875941204925846,cumulative
Steel,Bulk commodities,Hydro,412605.05665400275,0.268127445749037,cumulative
Steel,Bulk commodities,Geothermal,1475290.383609015,0.958703331226769,cumulative
Steel,Bulk commodities,Biomass CCS,14027.478366098137,0.00911562251588145,cumulative
Steel,Bulk commodities,Nuclear (SMR),145230.3098543772,0.09437652641094357,cumulative
Steel,Bulk commodities,Natural gas,8517736.635028047,5.535169602703685,cumulative
Steel,Bulk commodities,Coal CCS,1078406.7242286177,0.7007922849779264,cumulative
Tellurium,Specialty metals,Utility solar PV,14832.85087952534,100.0,cumulative
Tellurium,Specialty metals,Distributed solar,0.0,0.0,cumulative
Tellurium,Specialty metals,CSP,0.0,0.0,cumulative
Tellurium,Specialty metals,Onshore wind,0.0,0.0,cumulative
Tellurium,Specialty metals,Offshore wind,0.0,0.0,cumulative
Tellurium,Specialty metals,Hydro,0.0,0.0,cumulative
Tellurium,Specialty metals,Geothermal,0.0,0.0,cumulative
Tellurium,Specialty metals,Biomass CCS,0.0,0.0,cumulative
Tellurium,Specialty metals,Nuclear (SMR),0.0,0.0,cumulative
Tellurium,Specialty metals,Natural gas,0.0,0.0,cumulative
Tellurium,Specialty metals,Coal CCS,0.0,0.0,cumulative
Terbium,Rare earth elements,Utility solar PV,0.0,0.0,cumulative
Terbium,Rare earth elements,Distributed solar,0.0,0.0,cumulative
Terbium,Rare earth elements,CSP,0.0,0.0,cumulative
Terbium,Rare earth elements,Onshore wind,4407.782660627439,92.09537589952598,cumulative
Terbium,Rare earth elements,Offshore wind,378.3237183032823,7.90462410047402,cumulative
Terbium,Rare earth elements,Hydro,0.0,0.0,cumulative
Terbium,Rare earth elements,Geothermal,0.0,0.0,cumulative
Terbium,Rare earth elements,Biomass CCS,0.0,0.0,cumulative
Terbium,Rare earth elements,Nuclear (SMR),0.0,0.0,cumulative
Terbium,Rare earth elements,Natural gas,0.0,0.0,cumulative
Terbium,Rare earth elements,Coal CCS,0.0,0.0,cumulative
Tin,Base & alloying,Utility solar PV,438585.17608288553,91.74950596394667,cumulative
Tin,Base & alloying,Distributed solar,39439.38816406455,8.250494036053333,cumulative
Tin,Base & alloying,CSP,0.0,0.0,cumulative
Tin,Base & alloying,Onshore wind,0.0,0.0,cumulative
Tin,Base & alloying,Offshore wind,0.0,0.0,cumulative
Tin,Base & alloying,Hydro,0.0,0.0,cumulative
Tin,Base & alloying,Geothermal,0.0,0.0,cumulative
Tin,Base & alloying,Biomass CCS,0.0,0.0,cumulative
Tin,Base & alloying,Nuclear (SMR),0.0,0.0,cumulative
Tin,Base & alloying,Natural gas,0.0,0.0,cumulative
Tin,Base & alloying,Coal CCS,0.0,0.0,cumulative
Vanadium,Base & alloying,Utility solar PV,0.0,0.0,cumulative
Vanadium,Base & alloying,Distributed solar,0.0,0.0,cumulative
Vanadium,Base & alloying,CSP,0.0,0.0,cumulative
Vanadium,Base & alloying,Onshore wind,64981.91601676622,91.73939361873268,cumulative
Vanadium,Base & alloying,Offshore wind,5851.248944874943,8.260606381267328,cumulative
Vanadium,Base & alloying,Hydro,0.0,0.0,cumulative
Vanadium,Base & alloying,Geothermal,0.0,0.0,cumulative
Vanadium,Base & alloying,Biomass CCS,0.0,0.0,cumulative
Vanadium,Base & alloying,Nuclear (SMR),0.0,0.0,cumulative
Vanadium,Base & alloying,Natural gas,0.0,0.0,cumulative
Vanadium,Base & alloying,Coal CCS,0.0,0.0,cumulative
Yttrium,Rare earth elements,Utility solar PV,0.0,0.0,cumulative
Yttrium,Rare earth elements,Distributed solar,0.0,0.0,cumulative
Yttrium,Rare earth elements,CSP,0.0,0.0,cumulative
Yttrium,Rare earth elements,Onshore wind,887.9487370947772,99.99999999999999,cumulative
Yttrium,Rare earth elements,Offshore wind,0.0,0.0,cumulative
Yttrium,Rare earth elements,Hydro,0.0,0.0,cumulative
Yttrium,Rare earth elements,Geothermal,0.0,0.0,cumulative
Yttrium,Rare earth elements,Biomass CCS,0.0,0.0,cumulative
Yttrium,Rare earth elements,Nuclear (SMR),0.0,0.0,cumulative
Yttrium,Rare earth elements,Natural gas,0.0,0.0,cumulative
Yttrium,Rare earth elements,Coal CCS,0.0,0.0,cumulative
Zinc,Base & alloying,Utility solar PV,0.0,0.0,cumulative
Zinc,Base & alloying,Distributed solar,0.0,0.0,cumulative
Zinc,Base & alloying,CSP,0.0,0.0,cumulative
Zinc,Base & alloying,Onshore wind,4010839.957884431,100.0,cumulative
Zinc,Base & alloying,Offshore wind,0.0,0.0,cumulative
Zinc,Base & alloying,Hydro,0.0,0.0,cumulative
Zinc,Base & alloying,Geothermal,0.0,0.0,cumulative
Zinc,Base & alloying,Biomass CCS,0.0,0.0,cumulative
Zinc,Base & alloying,Nuclear (SMR),0.0,0.0,cumulative
Zinc,Base & alloying,Natural gas,0.0,0.0,cumulative
Zinc,Base & alloying,Coal CCS,0.0,0.0,cumulative
